# Parameter Name     	 	 Median       	 	 Upper 68 CI  	 	 Lower 68 CI 
q1_TESS            	 	 0.3507866670 	 	 0.0484148371 	 	 0.0508397347
q2_TESS            	 	 0.2433018466 	 	 0.0501776951 	 	 0.0485349389
P_p1               	 	 3.2537679595 	 	 0.0001031001 	 	 0.0000972409
a_p1               	 	 5.8534942591 	 	 0.4652081382 	 	 0.5744232949
t0_p1              	 	 3775.5816576561 	 	 0.0049815907 	 	 0.0049062986
p_p1               	 	 0.0687353933 	 	 0.0223514950 	 	 0.0230622677
b_p1               	 	 0.4682491136 	 	 0.3542743056 	 	 0.3173437845
rho                	 	 358.3367187778 	 	 92.4600161329 	 	 95.4772229917
mflux_TESS         	 	 0.0045936057 	 	 0.0948249862 	 	 0.0981698129
sigma_w_TESS       	 	 999.9198987344 	 	 0.0610621041 	 	 0.1277352445
